"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ParsableContent-model","","","",0,*,"","","","","","A string that follows a formal syntax and can be analyzed and broken into meaningful parts.","","","","","","","","","",,,,,"",,,,"shr-core-ParsableContent-model",0,*,"",""
"shr-core-ParsableContent-model.text","","","",1,1,"","","","string {[]} {[]}
","A simple string.","A simple string.","","","","","","","","","",,,,,"",,,,"shr-core-ParsableContent-model.text",1,1,"",""
"shr-core-ParsableContent-model.formalism","","","",1,1,"","","","Coding {[]} {[]}
","The system of formal syntax or interpretation associated with parsable content.","The system of formal syntax or interpretation associated with parsable content.","","","","","","","","","",,,,,"",,,,"shr-core-ParsableContent-model.formalism",1,1,"",""
