"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-PassportInformation-model","","","",0,*,"","","","","","Credential indicating citizenship.","","","","","","","","","",,,,,"",,,,"shr-core-PassportInformation-model",0,*,"",""
"shr-core-PassportInformation-model.passportNumber","","","",1,1,"","","","string {[]} {[]}
","The passport number.","The passport number.","","","","","","","","","",,,,,"",,,,"shr-core-PassportInformation-model.passportNumber",1,1,"",""
"shr-core-PassportInformation-model.countryOfIssue","","","",1,1,"","","","string {[]} {[]}
","A country acting as an assuing authority for a document.","A country acting as an assuing authority for a document.","","","","","","","","","",,,,,"",,,,"shr-core-PassportInformation-model.countryOfIssue",1,1,"",""
"shr-core-PassportInformation-model.effectiveTimePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EffectiveTimePeriod-model {[]} {[]}
","The date and time span for which something is active, valid, or in force.","The date and time span for which something is active, valid, or in force.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2985763
",,,,"shr-core-PassportInformation-model.effectiveTimePeriod",0,1,"",""
