"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Brand-model","","","",0,*,"","","","","","If the product is branded, and if so, the brand name of a product.","","","","","","","","","",,,,,"",,,,"shr-core-Brand-model",0,*,"",""
"shr-core-Brand-model.isBrand","","","",1,1,"","","","boolean {[]} {[]}
","If the product is branded.","If the product is branded.","","","","","","","","","",,,,,"",,,,"shr-core-Brand-model.isBrand",1,1,"",""
"shr-core-Brand-model.brandName","","","",0,1,"","","","string {[]} {[]}
","The marketing name for a brand name product","The marketing name for a brand name product","","","","","","","","","",,,,,"",,,,"shr-core-Brand-model.brandName",0,1,"",""
