"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-PhotographicImage-model","","","",0,*,"","","","","","An attachment of a photographic type. The mime type should be either bmp, gif, jpeg, png, svg, or tiff.","","","","","","","","","",,,,,"",,,,"shr-core-PhotographicImage-model",0,*,"",""
"shr-core-PhotographicImage-model.binaryData","","","",0,1,"","","","base64Binary {[]} {[]}
","The data itself.","The data itself.","","","","","","","","","",,,,,"",,,,"shr-core-PhotographicImage-model.binaryData",0,1,"",""
"shr-core-PhotographicImage-model.contentType","","","",0,1,"","","","Coding {[]} {[]}
","The mime type of the content, with charset etc.","The mime type of the content, with charset etc.","","","","","","","","","",,,,,"",,,,"shr-core-PhotographicImage-model.contentType",0,1,"",""
"shr-core-PhotographicImage-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-PhotographicImage-model.language",0,1,"",""
"shr-core-PhotographicImage-model.resourceLocation","","","",0,1,"","","","uri {[]} {[]}
","URL where data can be found.","URL where data can be found.","","","","","","","","","",,,,,"",,,,"shr-core-PhotographicImage-model.resourceLocation",0,1,"",""
"shr-core-PhotographicImage-model.resourceSize","","","",0,1,"","","","unsignedInt {[]} {[]}
","Number of bytes of content in the resource (if url provided)","Number of bytes of content in the resource (if url provided)","","","","","","","","","",,,,,"",,,,"shr-core-PhotographicImage-model.resourceSize",0,1,"",""
"shr-core-PhotographicImage-model.hash","","","",0,1,"","","","base64Binary {[]} {[]}
","A hash code of the data (sha-1, base64ed)","A hash code of the data (sha-1, base64ed)","","","","","","","","","",,,,,"",,,,"shr-core-PhotographicImage-model.hash",0,1,"",""
"shr-core-PhotographicImage-model.title","","","",0,1,"","","","string {[]} {[]}
","A distinguishing word or group of words naming an item.","A distinguishing word or group of words naming an item.","","","","","","","","","",,,,,"",,,,"shr-core-PhotographicImage-model.title",0,1,"",""
"shr-core-PhotographicImage-model.creationDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the item was created.","The point in time when the item was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-PhotographicImage-model.creationDateTime",0,1,"",""
