"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-HoursOfOperation-model","","","",0,*,"","","","","","What days/times during a week is this location usually open.","","","","","","","","","",,,,,"",,,,"shr-core-HoursOfOperation-model",0,*,"",""
"shr-core-HoursOfOperation-model.dayOfWeek","","","",0,*,"","","","Coding {[]} {[]}
","If one or more days of week is provided, then the action happens only on the specified day(s).","If one or more days of week is provided, then the action happens only on the specified day(s).","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/days-of-week","",,,,"shr-core-HoursOfOperation-model.dayOfWeek",0,*,"",""
"shr-core-HoursOfOperation-model.allDay","","","",0,1,"","","","boolean {[]} {[]}
","The Location is open all day.","The Location is open all day.","","","","","","","","","",,,,,"",,,,"shr-core-HoursOfOperation-model.allDay",0,1,"",""
"shr-core-HoursOfOperation-model.openingTime","","","",0,1,"","","","time {[]} {[]}
","Time that the Location opens.","Time that the Location opens.","","","","","","","","","",,,,,"",,,,"shr-core-HoursOfOperation-model.openingTime",0,1,"",""
"shr-core-HoursOfOperation-model.closingTime","","","",0,1,"","","","time {[]} {[]}
","Time that the Location closes.","Time that the Location closes.","","","","","","","","","",,,,,"",,,,"shr-core-HoursOfOperation-model.closingTime",0,1,"",""
